Name	PrecentFrequency	ApproximateNumber	Rank
NUNEZ	0.026	64,662	430
BALLARD	0.026	64,662	431
SCHWARTZ	0.026	64,662	432
MCBRIDE	0.026	64,662	433
HOUSTON	0.026	64,662	434
CHRISTENSEN	0.026	64,662	435
KLEIN	0.026	64,662	436
PRATT	0.026	64,662	437
BRIGGS	0.026	64,662	438
PARSONS	0.026	64,662	439
MCLAUGHLIN	0.026	64,662	440
ZIMMERMAN	0.026	64,662	441
FRENCH	0.026	64,662	442
BUCHANAN	0.026	64,662	443
MORAN	0.026	64,662	444
COPELAND	0.025	62,175	445
ROY	0.025	62,175	446
PITTMAN	0.025	62,175	447
BRADY	0.025	62,175	448
MCCORMICK	0.025	62,175	449
HOLLOWAY	0.025	62,175	450
BROCK	0.025	62,175	451
POOLE	0.025	62,175	452
FRANK	0.025	62,175	453
LOGAN	0.025	62,175	454
OWEN	0.025	62,175	455
BASS	0.025	62,175	456
MARSH	0.025	62,175	457
DRAKE	0.025	62,175	458
WONG	0.025	62,175	459
JEFFERSON	0.025	62,175	460
PARK	0.025	62,175	461
MORTON	0.025	62,175	462
ABBOTT	0.025	62,175	463
SPARKS	0.025	62,175	464
PATRICK	0.024	59,688	465
NORTON	0.024	59,688	466
HUFF	0.024	59,688	467
CLAYTON	0.024	59,688	468
MASSEY	0.024	59,688	469
LLOYD	0.024	59,688	470
FIGUEROA	0.024	59,688	471
CARSON	0.024	59,688	472
BOWERS	0.024	59,688	473
ROBERSON	0.024	59,688	474
BARTON	0.024	59,688	475
TRAN	0.024	59,688	476
LAMB	0.024	59,688	477
HARRINGTON	0.024	59,688	478
CASEY	0.024	59,688	479
BOONE	0.024	59,688	480
CORTEZ	0.024	59,688	481
CLARKE	0.024	59,688	482
MATHIS	0.024	59,688	483
SINGLETON	0.024	59,688	484
WILKINS	0.024	59,688	485
CAIN	0.024	59,688	486
BRYAN	0.024	59,688	487
UNDERWOOD	0.024	59,688	488
HOGAN	0.024	59,688	489
MCKENZIE	0.023	57,201	490
COLLIER	0.023	57,201	491
LUNA	0.023	57,201	492
PHELPS	0.023	57,201	493
MCGUIRE	0.023	57,201	494
ALLISON	0.023	57,201	495
BRIDGES	0.023	57,201	496
WILKERSON	0.023	57,201	497
NASH	0.023	57,201	498
SUMMERS	0.023	57,201	499
ATKINS	0.023	57,201	500
WILCOX	0.023	57,201	501
PITTS	0.023	57,201	502
CONLEY	0.023	57,201	503
MARQUEZ	0.023	57,201	504
BURNETT	0.023	57,201	505
RICHARD	0.023	57,201	506
COCHRAN	0.023	57,201	507
CHASE	0.023	57,201	508
DAVENPORT	0.023	57,201	509
HOOD	0.023	57,201	510
GATES	0.023	57,201	511
CLAY	0.023	57,201	512
AYALA	0.023	57,201	513
SAWYER	0.023	57,201	514
ROMAN	0.023	57,201	515
VAZQUEZ	0.023	57,201	516
DICKERSON	0.023	57,201	517
HODGE	0.022	54,714	518
ACOSTA	0.022	54,714	519
FLYNN	0.022	54,714	520
ESPINOZA	0.022	54,714	521
NICHOLSON	0.022	54,714	522
MONROE	0.022	54,714	523
WOLF	0.022	54,714	524
MORROW	0.022	54,714	525
KIRK	0.022	54,714	526
RANDALL	0.022	54,714	527
ANTHONY	0.022	54,714	528
WHITAKER	0.022	54,714	529
OCONNOR	0.022	54,714	530
SKINNER	0.022	54,714	531
WARE	0.022	54,714	532
MOLINA	0.022	54,714	533
KIRBY	0.022	54,714	534
